10700;#doc=Derevnya.2.txt;;;;;;;;;;;;;;;
10701;1; ирилл; »–»ЋЋ;S m anim pers nom sg;;;л;л;и;р;и;к;S; »–»ЋЋ;S m anim nom sg;
10702;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
10703;3;Ќу;Ќ”;PART;;;у;н;;;;;PART;Ќ”;PART;
10704;4;в;¬ ќЅў≈ћ;PARENTH слитно;;;в;;;;;;PR;¬;PR;
10705;5;общем;¬ ќЅў≈ћ;PARENTH;;;м;е;щ;б;о;;A;ќЅў»…;A - loc sg plen m -;
10706;6;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
10707;7;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
10708;8;“ак;“ј ;ADV -;;;к;а;т;;;;ADV;“ј ;ADV -;
10709;9;получилось;ѕќЋ”„»“№—я;V pf praet sg indic n -;;;ь;с;о;л;и;ч;V;ѕќЋ”„»“№—я;V pf praet sg indic n -;
10710;10;что;„“ќ;CONJ;;;о;т;ч;;;;CONJ;„“ќ;CONJ;
10711;11;по;ѕќ;PR;;;о;п;;;;;PR;ѕќ;PR;
10712;12;маминой;ћјћ»Ќ;A - dat sg plen f -;;;й;о;н;и;м;а;A;ћјћ»Ќ;A - dat sg plen f -;
10713;13;линии;Ћ»Ќ»я;S f inan gen sg;;;и;и;н;и;л;;S;Ћ»Ќ»я;S f inan dat sg;
10714;14;€;я;SPRO sg 1p - nom;;;€;;;;;;SPRO;я;SPRO sg 1p - nom;
10715;15;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
10716;16;ну;Ќ”;PART;;;у;н;;;;;PART;Ќ”;PART;
10717;17;наполовину;ЌјѕќЋќ¬»Ќ”;ADV -;;;у;н;и;в;о;л;ADV;ЌјѕќЋќ¬»Ќ”;ADV -;
10718;18;из;»«;PR;;;з;и;;;;;PR;»«;PR;
10719;19;деревни;ƒ≈–≈¬Ќя;S f inan gen sg;;;и;н;в;е;р;е;S;ƒ≈–≈¬Ќя;S f inan gen sg;
10720;20;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
10721;21;то;“ќ;CONJ;;;о;т;;;;;CONJ;“ќ;CONJ;
10722;22;&;&;PUNC;;;;;;;;;PUNC;&;PUNC;
10723;23;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX;
10724;24;";";";";PUNC;;;;;;;;;PUNC;";";PUNC;
10725;25;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
10726;26;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
10727;27;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
10728;28;&;&;PUNC;;;;;;;;;PUNC;&;PUNC;
10729;29;#;#;PUNC;;;;;;;;;PUNC;#;PUNC;
10730;30;39;39;NUM - - -;;;;;;;;;NUM;39;NUM - - -;
10731;31;";";";";PUNC;;;;;;;;;PUNC;";";PUNC;
10732;32;есь;Ѕџ“№;V ipf praes sg indic - 3p;;;ь;с;е;;;;S;≈—№;S f inan nonflex nonflex;
10733;33;&;&;PUNC;;;;;;;;;PUNC;&;PUNC;
10734;34;#;#;PUNC;;;;;;;;;PUNC;#;PUNC;
10735;35;39;39;NUM - - -;;;;;;;;;NUM;39;NUM - - -;
10736;36;";";";";SENT;;;;;;;;;SENT;";";SENT;
10737;;;;;;;;;;;;;;;;
10738;1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC;
10739;2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX;
10740;3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC;
10741;4;есть;Ѕџ“№;V ipf praes sg indic - 3p;;;ь;т;с;е;;;V;Ѕџ“№;V ipf praes sg indic - 3p;
10742;5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC;
10743;6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX;
10744;7;";";";";SENT;;;;;;;;;SENT;";";SENT;
10745;;;;;;;;;;;;;;;;
10746;1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
10747;2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
10748;3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC;
10749;4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX;
10750;5;";";";";SENT;;;;;;;;;SENT;";";SENT;
10751;;;;;;;;;;;;;;;;
10752;1;если;≈—Ћ»;CONJ;;;и;л;с;е;;;CONJ;≈—Ћ»;CONJ;
10753;2;по;ѕќ;PR;;;о;п;;;;;PR;ѕќ;PR;
10754;3;отцу;ќ“≈÷;S m anim dat sg;;;у;ц;т;о;;;S;ќ“≈÷;S m anim dat sg;
10755;4;€;я;SPRO sg 1p - nom;;;€;;;;;;SPRO;я;SPRO sg 1p - nom;
10756;5;как бы;как бы;PART;;;ы;б; ;к;а;к;-;как бы;-;
10757;6;москвич;ћќ— ¬»„;S m anim nom sg;;;ч;и;в;к;с;о;S;ћќ— ¬»„;S m anim nom sg;
10758;7;то;“ќ;CONJ;;;о;т;;;;;CONJ;“ќ;CONJ;
10759;8;по;ѕќ;PR;;;о;п;;;;;PR;ѕќ;PR;
